"","State","Race","Value"
"303","Wisconsin","H","0.083"
"304","Wisconsin","A","0.029"
"305","Wisconsin","N","N/A"
"306","Wisconsin","O","N/A"
"307","Wyoming","W","0.833"
"308","Wyoming","B","0.013"
"309","Wyoming","H","0.094"
"310","Wyoming","A","N/A"
"311","Wyoming","N","0.018"
"312","Wyoming","O","0.051"
