"","year","state","race","TotalVictimsInStateByRace","Value","x"
"195",2018,"MI","W",11,7521600,0.146245479685173
"196",2018,"MN","B",2,379400,0.527148128624143
"197",2018,"MN","H",1,251200,0.398089171974522
"198",2018,"MN","N",2,NA,NA
"199",2018,"MN","W",7,4623000,0.151416828898983
"200",2018,"MO","A",1,NA,NA
"201",2018,"MO","B",7,684500,1.02264426588751
"202",2018,"MO","W",11,4683300,0.234877116563107
"203",2018,"MS","B",5,1094800,0.456704420898794
"204",2018,"MS","W",4,1677500,0.238450074515648
"205",2018,"MT","N",1,49100,2.03665987780041
"206",2018,"MT","W",5,929000,0.538213132400431
"207",2018,"NC","B",7,2232100,0.313606021235608
"208",2018,"NC","H",3,996200,0.301144348524393
"209",2018,"NC","W",15,6249300,0.240026883010897
"210",2018,"ND","W",4,627200,0.637755102040816
"211",2018,"NE","B",1,86500,1.15606936416185
"212",2018,"NH","W",2,1221100,0.163786749651953
"213",2018,"NJ","B",6,1164000,0.515463917525773
"214",2018,"NJ","H",1,1523500,0.0656383327863472
"215",2018,"NJ","W",5,5138800,0.0972989803066864
"216",2018,"NM","B",1,34600,2.89017341040462
"217",2018,"NM","H",14,976200,1.43413234992829
"218",2018,"NM","W",4,770400,0.519210799584631
"219",2018,"NV","A",2,222200,0.9000900090009
"220",2018,"NV","B",3,271900,1.10334681868334
"221",2018,"NV","H",7,765500,0.914435009797518
"222",2018,"NV","W",7,1571800,0.445349281079018
"223",2018,"NY","B",6,2521700,0.237934726573343
"224",2018,"NY","H",3,3594300,0.0834654870211168
"225",2018,"NY","W",6,10973200,0.0546786716728028
"226",2018,"OH","B",8,1407500,0.568383658969805
"227",2018,"OH","H",1,385600,0.259336099585062
"228",2018,"OH","W",21,9033900,0.232457742503238
"229",2018,"OK","A",1,71200,1.40449438202247
"230",2018,"OK","B",5,279800,1.78699070764832
"231",2018,"OK","H",1,491200,0.203583061889251
"232",2018,"OK","N",3,398000,0.753768844221106
"233",2018,"OK","W",22,2429300,0.905610669740254
"234",2018,"OR","B",2,87800,2.27790432801822
"235",2018,"OR","H",1,556000,0.179856115107914
"236",2018,"OR","W",12,3145300,0.381521635456077
"237",2018,"PA","B",9,1398000,0.643776824034335
"238",2018,"PA","H",4,989100,0.40440804772015
"239",2018,"PA","W",8,9439000,0.0847547409683229
"240",2018,"RI","B",1,48000,2.08333333333333
"241",2018,"SC","A",1,83600,1.19617224880383
"242",2018,"SC","B",3,1307000,0.229533282325937
"243",2018,"SC","W",8,3279300,0.243954502485287
"244",2018,"SD","W",2,700100,0.285673475217826
"245",2018,"TN","B",9,1104900,0.814553353244638
"246",2018,"TN","H",1,467800,0.213766566908935
"247",2018,"TN","W",14,4805900,0.291308599846023
"248",2018,"TX","A",1,1439100,0.0694878743659231
"249",2018,"TX","B",15,3435800,0.436579544793061
"250",2018,"TX","H",29,11327100,0.256023165682302
"251",2018,"TX","W",23,11627900,0.197800118680071
"252",2018,"UT","B",3,33300,9.00900900900901
"253",2018,"UT","H",4,458300,0.872790748418067
"254",2018,"UT","N",2,NA,NA
"255",2018,"UT","W",10,2480700,0.403112024831701
"256",2018,"VA","B",12,1649500,0.72749317975144
"257",2018,"VA","W",6,4926800,0.121782901680604
"258",2018,"VT","W",2,573200,0.348918353105373
"259",2018,"WA","A",1,773200,0.129332643559234
"260",2018,"WA","H",4,1043000,0.383509108341323
"261",2018,"WA","W",12,4944400,0.242698810775827
"262",2018,"WI","B",3,354000,0.847457627118644
"263",2018,"WI","N",1,NA,NA
"264",2018,"WI","W",7,4799500,0.145848525888113
"265",2018,"WV","B",2,56000,3.57142857142857
"266",2018,"WV","W",4,1618700,0.247111879903626
"267",2018,"WY","H",1,51600,1.93798449612403
"268",2018,"WY","W",3,476200,0.629987400251995
"269",2020,"AK","A",1,45200,2.21238938053097
"270",2020,"AK","W",8,399000,2.00501253132832
"271",2020,"AL","B",3,1308800,0.22921760391198
"272",2020,"AL","H",1,189200,0.528541226215645
"273",2020,"AL","W",11,3201500,0.343588942683117
"274",2020,"AR","B",4,440200,0.908677873693776
"275",2020,"AR","W",7,2126500,0.329179402774512
"276",2020,"AZ","B",5,373300,1.339405304045
"277",2020,"AZ","H",17,2642100,0.643427576548957
"278",2020,"AZ","N",1,105300,0.949667616334283
"279",2020,"AZ","W",14,3977400,0.351988736360436
